iter	RMSE
1605	47053.34324
1606	47042.41014
1607	47031.31349
1608	47021.16039
1609	47008.52371
1610	46990.43011
1611	46969.71014
1612	46961.57894
1613	46951.21196
1614	46938.18337
1615	46925.59714
1616	46912.30498
1617	46892.76564
1618	46879.31376
1619	46869.65715
1620	46858.86583
1621	46846.92569
1622	46836.52157
1623	46823.45491
1624	46812.3301
1625	46803.29373
1626	46787.32786
1627	46766.45095
1628	46755.94466
1629	46746.08482
1630	46732.72913
1631	46712.56037
1632	46698.94037
1633	46690.02139
1634	46677.72902
1635	46663.56224
1636	46656.4209
1637	46637.58695
1638	46631.68192
1639	46613.45664
1640	46592.53409
1641	46571.94741
1642	46561.85982
1643	46550.57895
1644	46527.33853
1645	46513.47237
1646	46498.41655
1647	46489.40854
1648	46475.63803
1649	46463.51413
1650	46452.4054
1651	46439.30412
1652	46432.84
1653	46421.43774
1654	46405.80448
1655	46400.21789
1656	46383.73466
1657	46363.26817
1658	46350.19037
1659	46325.26493
1660	46316.71828
1661	46303.18796
1662	46286.45455
1663	46276.83954
